player,position,club,team,minutes,minutes_90s,goals,assists,goals_per90,assists_per90,xg,xg_assist_per90,xg_per90,cards_yellow,cards_red,tackles_won,interceptions,blocked_passes,blocked_shots,clearances
Ahmed Alaaeldin,FW,Al-Gharafa Sports Club,Qatar,6,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Hwang In-beom,MF,Olympiacos,Korea Republic,334,3.7,0,0,0.0,0.0,0.2,0.02,0.06,0,0,3,3,1,0,2
Mathias Jensen,MF,Brentford,Denmark,84,0.9,0,0,0.0,0.0,0.1,0.38,0.11,1,0,0,0,2,0,0
Rodri,DF,Manchester City,Spain,390,4.3,0,0,0.0,0.0,0.0,0.04,0.01,0,0,2,3,1,2,9
Unai Simón,GK,Athletic Club,Spain,390,4.3,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
Carlos Soler,MF,Paris S-G,Spain,92,1.0,1,0,0.98,0.0,0.5,0.26,0.78,0,0,0,0,0,0,0
Héctor Herrera,MF,Houston Dynamo,Mexico,160,1.8,0,0,0.0,0.0,0.0,0.06,0.0,1,0,3,3,1,0,0
Kim Min-jae,DF,Napoli,Korea Republic,269,3.0,0,0,0.0,0.0,0.1,0.0,0.03,0,0,1,2,4,1,8
Rasmus Nissen,DF,Leeds United,Denmark,224,2.5,0,0,0.0,0.0,0.0,0.01,0.0,1,0,7,1,2,1,7
Jakub Kamiński,MF,Wolfsburg,Poland,233,2.6,0,0,0.0,0.0,0.4,0.09,0.14,0,0,1,0,3,1,2
Joško Gvardiol,DF,RB Leipzig,Croatia,690,7.7,1,0,0.13,0.0,0.1,0.01,0.02,0,0,6,11,4,4,37
Luka Jović,FW,Fiorentina,Serbia,36,0.4,0,0,0.0,0.0,0.1,0.4,0.13,1,0,0,1,1,0,0
Alphonso Davies,MF,Bayern Munich,Canada,270,3.0,1,0,0.33,0.0,1.1,0.17,0.36,1,0,1,3,5,0,1
Jordan Henderson,MF,Liverpool,England,271,3.0,1,0,0.33,0.0,0.2,0.11,0.05,0,0,2,1,2,1,0
Takehiro Tomiyasu,DF,Arsenal,Japan,187,2.1,0,0,0.0,0.0,0.0,0.11,0.0,0,0,0,0,0,2,7
Axel Disasi,DF,Monaco,France,92,1.0,0,0,0.0,0.0,0.1,0.0,0.07,0,0,2,3,0,0,4
Aymeric Laporte,DF,Manchester City,Spain,300,3.3,0,0,0.0,0.0,0.0,0.01,0.01,1,0,0,3,0,0,7
Daniel Chacón,MF,CS Cartaginés,Costa Rica,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
Matías Vecino,MF,Lazio,Uruguay,195,2.2,0,0,0.0,0.0,0.1,0.0,0.05,0,0,3,4,4,2,1
Maxi Gómez,FW,Trabzonspor,Uruguay,30,0.3,0,0,0.0,0.0,0.1,0.0,0.26,0,0,0,0,0,0,0
Aaron Mooy,MF,Celtic,Australia,360,4.0,0,0,0.0,0.0,0.0,0.02,0.01,1,0,6,3,2,4,9
Salem Al-Dawsari,MF,Al-Hilal,Saudi Arabia,270,3.0,2,0,0.67,0.0,1.8,0.08,0.59,1,0,4,1,1,0,2
Ali Al Hassan,MF,Al-Nassr,Saudi Arabia,45,0.5,0,0,0.0,0.0,0.1,0.0,0.15,1,0,1,0,1,1,1
André Ayew,MF,Al Sadd SC,Ghana,198,2.2,1,0,0.45,0.0,1.1,0.0,0.52,1,0,1,0,1,0,3
Edinson Cavani,FW,Valencia,Uruguay,124,1.4,0,0,0.0,0.0,0.3,0.5,0.21,1,0,0,0,0,0,0
Jawad El Yamiq,DF,Valladolid,Morocco,309,3.4,0,0,0.0,0.0,0.1,0.0,0.03,0,0,2,5,0,6,17
Bukayo Saka,FW,Arsenal,England,288,3.2,3,0,0.94,0.0,0.6,0.2,0.2,0,0,4,2,4,1,2
Diego Godín,DF,Vélez Sarsf,Uruguay,151,1.7,0,0,0.0,0.0,0.1,0.0,0.03,0,0,0,1,0,0,9
Mohamed Ali Ben Romdhane,MF,Espérance de Tunis,Tunisia,73,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,1,0,0
Remo Freuler,MF,Nott'ham Forest,Switzerland,323,3.6,1,0,0.28,0.0,0.5,0.0,0.14,0,0,5,3,3,0,3
Rónald Matarrita,DF,FC Cincinnati,Costa Rica,26,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
Sofiane Boufal,FW,Angers,Morocco,475,5.3,0,0,0.0,0.0,0.3,0.06,0.05,1,0,5,2,9,0,1
Xherdan Shaqiri,FW,Chicago Fire,Switzerland,229,2.5,1,1,0.39,0.39,0.3,0.35,0.12,0,0,0,0,0,0,0
Gregor Kobel,GK,Dortmund,Switzerland,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Matt Turner,GK,Arsenal,United States,360,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
William Carvalho,MF,Betis,Portugal,215,2.4,0,0,0.0,0.0,0.1,0.0,0.03,0,0,5,0,2,0,3
Dani Carvajal,DF,Real Madrid,Spain,135,1.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,2,0,0,1
Pathé Ciss,MF,Rayo Vallecano,Senegal,146,1.6,0,0,0.0,0.0,0.0,0.0,0.02,1,0,3,2,0,1,4
Romain Saïss,DF,Beşiktaş,Morocco,466,5.2,1,0,0.19,0.0,0.8,0.0,0.16,1,0,2,3,2,1,30
Brandon Aguilera,MF,Asociación Deportiva Guanacasteca,Costa Rica,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0
Matías Viña,DF,Roma,Uruguay,17,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0
Saud Abdulhamid,DF,Al-Hilal,Saudi Arabia,270,3.0,0,0,0.0,0.0,0.0,0.02,0.01,1,0,2,2,3,0,6
Abdullah Madu,DF,Al-Nassr,Saudi Arabia,45,0.5,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,2,2
Antoine Semenyo,FW,Bristol City,Ghana,20,0.2,0,0,0.0,0.0,0.0,0.0,0.22,0,0,0,0,0,0,0
Weston McKennie,MF,Juventus,United States,271,3.0,0,0,0.0,0.0,0.4,0.13,0.13,1,0,1,0,4,0,5
Pape Matar Sarr,MF,Tottenham,Senegal,59,0.7,0,0,0.0,0.0,0.1,0.05,0.18,0,0,2,0,1,0,2
Selim Amallah,MF,Standard Liège,Morocco,409,4.5,0,0,0.0,0.0,0.2,0.02,0.05,1,0,9,8,5,1,3
Thiago Almada,MF,Atlanta Utd,Argentina,7,0.1,0,0,0.0,0.0,0.0,3.16,0.0,0,0,0,0,0,0,0
Daley Blind,DF,Ajax,Netherlands,423,4.7,1,1,0.21,0.21,0.4,0.1,0.08,0,0,9,5,5,1,4
Jordan Morris,FW,Seattle,United States,4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Michy Batshuayi,FW,Fenerbahçe,Belgium,151,1.7,1,0,0.6,0.0,0.8,0.03,0.45,0,0,0,0,1,0,0
Ali Abdi,DF,Caen,Tunisia,188,2.1,0,0,0.0,0.0,0.0,0.02,0.0,1,0,5,4,1,0,13
Christian Nørgaard,MF,Brentford,Denmark,6,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Riyadh Sharahili,MF,Abha,Saudi Arabia,54,0.6,0,0,0.0,0.0,0.0,0.05,0.0,0,0,0,2,0,1,4
Sebastián Coates,DF,Sporting CP,Uruguay,180,2.0,0,0,0.0,0.0,0.1,0.0,0.05,1,0,0,1,2,1,6
Sultan Al-Ghanam,DF,Al-Nassr,Saudi Arabia,126,1.4,0,0,0.0,0.0,0.2,0.05,0.12,0,0,0,2,2,1,3
